X,yob,incnum,Bachelor,Male,marital,union,relfreq,moreno,religionlink,regionlink,classlink,racelink,respondent_class,weight,region,religion,race,joblossnum,taxarg,employment,agecat,taxnum,educsimple,jl2
521,1970,7,1,1,1,No,NA,3,2,2,2,2,affluent people,0.219909255,Berlin,Non-religious,Germans,1,Reg,Working full time,Age4564,4,BachPlus,1
522,1959,1,0,0,0,Not Employed,NA,4,1,1,1,1,working class,0.624728243,Berlin,Non-religious,Germans,NA,Reg,"Unemployed, looking for work",Age4564,4,LessBach,0
523,1961,4,0,1,1,Yes,1,4,3,3,3,3,middle class,0.624728243,Berlin,Protestant,Germans,1,Reg,Working full time,Age4564,3,LessBach,1
524,1965,3,0,0,0,No,NA,4,3,4,4,3,middle class,0.624728243,Berlin,Non-religious,Germans,2,Eth,Working part-time,Age4564,1,LessBach,2
525,1969,4,0,1,1,No,NA,2,1,2,2,2,middle class,0.624728243,Berlin,Non-religious,Germans,2,Reg,Working full time,Age4564,3,LessBach,2
526,1955,4,0,1,0,No,1,3,1,2,2,2,middle class,0.624728243,Berlin,Protestant,Germans,1,Reg,Working full time,Age4564,6,LessBach,1
527,1972,3,0,0,0,No,NA,2,1,1,2,1,middle class,0.624728243,Berlin,Non-religious,Germans,2,Reg,Working part-time,Age4564,2,LessBach,2
528,1967,4,0,1,0,No,NA,3,1,4,4,4,middle class,0.624728243,Berlin,Non-religious,Germans,1,Reg,Working full time,Age4564,7,LessBach,1
529,1964,1,0,1,0,No,NA,4,1,4,4,4,working class,0.624728243,Berlin,Non-religious,Germans,1,Ctl,On a long-term leave,Age4564,3,LessBach,1
530,1960,2,0,1,0,No,1,4,3,3,4,1,working class,0.624728243,Berlin,Protestant,Germans,NA,Ctl,Retired,Age4564,7,LessBach,0
531,1960,5,0,0,1,Not Employed,2,3,1,3,4,3,middle class,0.624728243,Berlin,Protestant,Germans,NA,Eth,Other,Age4564,2,LessBach,0
532,1966,6,0,0,1,No,1,5,3,3,2,3,affluent people,0.624728243,Berlin,Protestant,Germans,1,Eth,Working part-time,Age4564,2,LessBach,1
533,1956,3,0,0,1,No,NA,3,1,4,4,4,middle class,0.624728243,Berlin,Non-religious,Germans,3,Reg,Working part-time,Age4564,2,LessBach,3
534,1963,3,0,1,0,No,NA,4,2,2,2,2,middle class,0.624728243,Berlin,Non-religious,Germans,1,Ctl,Working full time,Age4564,3,LessBach,1
535,1966,3,0,0,1,No,NA,3,2,4,4,3,middle class,0.624728243,Berlin,Non-religious,Germans,NA,Reg,Retired,Age4564,5,LessBach,0
536,1962,1,0,0,0,Not Employed,NA,3,1,2,2,2,working class,0.624728243,Berlin,Non-religious,Germans,NA,Reg,Retired,Age4564,3,LessBach,0
537,1958,5,0,0,1,Not Employed,NA,3,1,3,2,3,middle class,0.624728243,Berlin,Non-religious,Germans,NA,Reg,Retired,Age4564,3,LessBach,0
538,1968,2,0,0,0,No,NA,3,2,3,4,3,working class,0.624728243,Berlin,Non-religious,Germans,1,Eth,Working full time,Age4564,4,LessBach,1
539,1957,1,0,1,0,Not Employed,1,3,1,2,2,2,working class,0.624728243,Berlin,Protestant,Germans,NA,Ctl,Retired,Age4564,4,LessBach,0
540,1957,1,0,0,0,No,1,3,1,2,2,1,working class,0.624728243,Berlin,Protestant,Germans,2,Reg,Working part-time,Age4564,3,LessBach,2
541,1958,1,0,1,0,Not Employed,NA,2,4,4,4,3,working class,0.624728243,Berlin,Non-religious,Germans,NA,Eth,Retired,Age4564,3,LessBach,0
542,1953,3,0,1,1,No,NA,3,4,2,2,2,middle class,0.624728243,Berlin,Non-religious,Germans,2,Eth,Working part-time,Age4564,2,LessBach,2
543,1955,3,0,0,0,No,NA,3,1,2,3,2,middle class,0.624728243,Berlin,Non-religious,Germans,NA,Reg,Retired,Age4564,3,LessBach,0
544,1964,4,0,1,0,Yes,NA,NA,4,4,4,4,middle class,0.624728243,Berlin,Non-religious,Germans,1,Eth,Working part-time,Age4564,6,LessBach,1
545,1970,4,0,0,0,No,NA,5,1,1,3,1,middle class,0.624728243,Berlin,Non-religious,Germans,1,Ctl,Working full time,Age4564,7,LessBach,1
546,1958,1,0,1,0,No,NA,3,1,3,3,4,working class,0.624728243,Berlin,Non-religious,Germans,3,Eth,Working part-time,Age4564,5,LessBach,3
547,1964,3,0,0,0,Yes,2,3,1,4,3,4,middle class,0.624728243,Berlin,Protestant,Germans,1,Eth,Working full time,Age4564,6,LessBach,1
548,1966,2,0,0,0,Not Employed,3,4,3,4,4,4,working class,0.624728243,Berlin,Protestant,Germans,NA,Eth,Retired,Age4564,5,LessBach,0
549,1952,4,0,0,1,No,2,3,3,3,3,3,middle class,0.624728243,Berlin,Protestant,Germans,NA,Reg,Retired,Age4564,6,LessBach,0
550,1963,6,0,1,0,No,2,3,2,3,3,3,affluent people,0.624728243,Berlin,Protestant,Germans,2,Eth,Working full time,Age4564,5,LessBach,2
551,1970,4,0,0,0,Not Employed,NA,1,1,2,4,2,middle class,0.624728243,Berlin,Non-religious,Germans,1,Eth,On a long-term leave,Age4564,7,LessBach,1
552,1963,7,0,0,1,No,NA,3,1,2,1,2,affluent people,0.624728243,Berlin,Non-religious,Germans,1,Ctl,Working full time,Age4564,5,LessBach,1
553,1970,4,0,0,0,No,NA,1,1,4,4,4,middle class,0.624728243,Berlin,Non-religious,Germans,1,Ctl,On a long-term leave,Age4564,7,LessBach,1
554,1953,2,0,1,0,No,2,3,4,4,4,4,working class,0.624728243,Berlin,Protestant,Germans,NA,Reg,Retired,Age4564,6,LessBach,0
555,1959,5,0,1,1,Yes,NA,3,1,1,1,1,middle class,0.624728243,Berlin,Non-religious,Germans,NA,Reg,Retired,Age4564,4,LessBach,0
556,1962,4,1,0,0,Yes,2,4,1,4,4,4,middle class,0.125,Berlin,Protestant,Germans,1,Ctl,Working full time,Age4564,3,BachPlus,1
557,1966,7,1,0,0,No,NA,1,3,2,2,2,affluent people,0.125,Berlin,Non-religious,Germans,1,Ctl,Working full time,Age4564,4,BachPlus,1
558,1958,6,0,0,1,No,NA,NA,3,3,3,3,affluent people,0.296356002,Berlin,Non-religious,Germans,1,Reg,Working full time,Age4564,1,LessBach,1
559,1968,4,0,0,0,Not Employed,NA,5,3,3,3,3,middle class,0.296356002,Berlin,Non-religious,Germans,5,Eth,Working part-time,Age4564,4,LessBach,5
560,1955,3,1,1,1,Yes,2,4,3,2,2,2,middle class,0.571104217,Berlin,Buddhist,Greeks,2,Reg,Working full time,Age4564,3,BachPlus,2
561,1951,3,0,0,1,No,1,3,2,4,3,4,middle class,6.191744795,Berlin,Protestant,Germans,NA,Ctl,Retired,Age65p,6,LessBach,0
562,1947,6,1,1,1,Yes,NA,2,1,2,3,2,affluent people,0.803615384,Berlin,Non-religious,Germans,NA,Eth,Retired,Age65p,7,BachPlus,0
563,1945,5,1,1,0,Not Employed,2,2,2,3,4,3,middle class,0.803615384,Berlin,Protestant,Germans,NA,Reg,Retired,Age65p,7,BachPlus,0
564,1945,5,1,1,0,No,2,1,3,2,3,2,middle class,0.803615384,Berlin,Protestant,Germans,NA,Reg,Retired,Age65p,6,BachPlus,0
565,1948,1,1,1,0,Not Employed,NA,3,1,4,3,4,working class,0.803615384,Berlin,Non-religious,Germans,NA,Ctl,Retired,Age65p,7,BachPlus,0
566,1948,1,0,0,0,No,NA,4,2,2,3,2,working class,2.397610367,Berlin,Non-religious,Germans,NA,Reg,Retired,Age65p,3,LessBach,0
567,1949,1,0,1,0,Not Employed,NA,3,1,1,2,1,working class,2.397610367,Berlin,Non-religious,Germans,NA,Reg,Retired,Age65p,6,LessBach,0
568,1941,4,0,1,1,Not Employed,4,3,4,3,2,4,middle class,2.397610367,Berlin,Catholic,Germans,NA,Ctl,Retired,Age65p,4,LessBach,0
569,1951,7,0,0,1,No,NA,3,1,1,1,1,affluent people,2.397610367,Berlin,Non-religious,Germans,NA,Ctl,Retired,Age65p,2,LessBach,0
570,1949,3,0,1,1,No,NA,3,2,2,3,1,middle class,2.397610367,Berlin,Non-religious,Germans,NA,Eth,Retired,Age65p,2,LessBach,0
571,1951,3,0,1,0,No,NA,3,1,3,3,2,middle class,1.104628271,Berlin,Non-religious,Germans,NA,Reg,Retired,Age65p,4,LessBach,0
572,1920,1,1,1,0,Not Employed,NA,NA,1,1,3,4,working class,2.186463088,Berlin,Non-religious,Other,NA,Reg,Other,Age65p,2,BachPlus,0
573,1996,4,1,1,0,No,NA,4,1,3,3,2,middle class,0.465635414,Brandenburg,Non-religious,Germans,4,Reg,Working full time,Age1524,1,BachPlus,4
574,1999,3,0,1,0,Not Employed,1,1,1,1,1,1,middle class,1.371068726,Brandenburg,Protestant,Germans,NA,Ctl,Other,Age1524,2,LessBach,0
575,1998,1,0,0,0,No,2,1,2,4,2,3,working class,1.371068726,Brandenburg,Protestant,Germans,NA,Ctl,Student,Age1524,4,LessBach,0
576,1994,1,0,1,0,No,NA,NA,3,2,4,2,working class,1.371068726,Brandenburg,Non-religious,Germans,NA,Ctl,Student,Age1524,7,LessBach,0
577,1997,1,0,0,0,No,NA,4,2,2,2,2,working class,1.371068726,Brandenburg,Non-religious,Germans,1,Eth,Working full time,Age1524,4,LessBach,1
578,1997,2,0,0,0,No,NA,3,2,3,4,4,working class,1.371068726,Brandenburg,Non-religious,Germans,1,Ctl,Working full time,Age1524,7,LessBach,1
579,1995,4,0,0,0,Not Employed,2,1,1,1,2,1,middle class,8,Brandenburg,Other,Russians,NA,Eth,Student,Age1524,5,LessBach,0
580,1981,2,1,0,0,No,NA,3,1,2,1,2,working class,0.325064561,Brandenburg,Non-religious,Germans,1,Eth,Working full time,Age2544,3,BachPlus,1
581,1979,5,1,0,1,No,NA,4,1,1,1,1,middle class,0.325064561,Brandenburg,Non-religious,Germans,1,Ctl,Working full time,Age2544,2,BachPlus,1
582,1978,5,0,0,0,Yes,NA,3,1,3,3,2,middle class,0.944114923,Brandenburg,Non-religious,Germans,1,Reg,Working full time,Age2544,3,LessBach,1
583,1984,6,0,1,1,No,NA,4,2,3,2,2,affluent people,0.944114923,Brandenburg,Non-religious,Germans,2,Ctl,Working full time,Age2544,5,LessBach,2
584,1976,2,0,1,0,No,1,2,1,3,3,2,working class,0.944114923,Brandenburg,Protestant,Germans,1,Ctl,Working full time,Age2544,7,LessBach,1
585,1984,3,0,1,0,No,NA,3,1,2,3,2,middle class,0.944114923,Brandenburg,Non-religious,Germans,2,Eth,Working full time,Age2544,1,LessBach,2
586,1979,2,0,1,1,No,NA,2,3,3,3,3,working class,0.944114923,Brandenburg,Non-religious,Germans,NA,Reg,"Unemployed, looking for work",Age2544,4,LessBach,0
587,1991,5,0,0,0,No,NA,3,1,3,3,3,middle class,0.944114923,Brandenburg,Non-religious,Germans,3,Reg,Working full time,Age2544,1,LessBach,3
588,1991,3,0,0,0,Yes,NA,3,1,2,3,2,middle class,0.944114923,Brandenburg,Non-religious,Germans,1,Reg,Working full time,Age2544,5,LessBach,1
589,1977,5,0,0,1,No,NA,3,4,3,4,4,middle class,0.944114923,Brandenburg,Non-religious,Germans,2,Reg,Working full time,Age2544,3,LessBach,2
590,1976,6,0,0,1,No,1,3,1,1,2,1,affluent people,0.944114923,Brandenburg,Protestant,Germans,1,Ctl,Working full time,Age2544,5,LessBach,1
591,1986,7,0,1,0,No,NA,4,2,1,2,2,affluent people,0.944114923,Brandenburg,Non-religious,Germans,1,Reg,Working full time,Age2544,6,LessBach,1
592,1985,3,0,0,0,No,NA,3,1,2,3,3,middle class,0.944114923,Brandenburg,Non-religious,Germans,1,Eth,Working full time,Age2544,1,LessBach,1
593,1987,5,0,0,1,Not Employed,1,3,1,2,2,3,middle class,0.944114923,Brandenburg,Protestant,Germans,NA,Ctl,Other,Age2544,2,LessBach,0
594,1991,2,1,1,0,Yes,2,1,4,1,3,2,working class,0.159736742,Brandenburg,Muslim,Germans,3,Reg,Working full time,Age2544,6,BachPlus,3
595,1983,7,0,0,0,No,NA,4,1,2,2,1,affluent people,0.441967148,Brandenburg,Non-religious,Germans,1,Ctl,Working full time,Age2544,2,LessBach,1
596,1983,7,0,0,0,No,NA,4,2,2,3,1,affluent people,0.441967148,Brandenburg,Non-religious,Germans,1,Eth,Working full time,Age2544,4,LessBach,1
597,1970,2,0,1,0,No,1,2,3,1,2,1,working class,2.131370288,Brandenburg,Catholic,Germans,1,Reg,Working full time,Age4564,3,LessBach,1
598,1965,5,1,1,0,No,NA,2,1,3,3,4,middle class,0.288768669,Brandenburg,Non-religious,Germans,1,Ctl,Working full time,Age4564,6,BachPlus,1
599,1962,4,1,0,1,No,NA,2,3,2,2,3,middle class,0.288768669,Brandenburg,Non-religious,Germans,1,Eth,Working full time,Age4564,3,BachPlus,1
600,1972,3,1,0,1,No,NA,4,4,3,4,3,middle class,0.288768669,Brandenburg,Non-religious,Germans,1,Reg,Working full time,Age4564,3,BachPlus,1
601,1955,2,1,1,1,No,NA,3,1,2,2,2,working class,0.288768669,Brandenburg,Non-religious,Germans,1,Ctl,Working part-time,Age4564,7,BachPlus,1
602,1953,3,1,0,1,No,NA,3,1,3,3,3,middle class,0.288768669,Brandenburg,Non-religious,Germans,NA,Ctl,Retired,Age4564,4,BachPlus,0
603,1967,5,1,1,0,Yes,NA,3,1,1,2,1,middle class,0.288768669,Brandenburg,Non-religious,Germans,1,Ctl,Working full time,Age4564,6,BachPlus,1
604,1965,1,1,1,0,Not Employed,NA,NA,1,2,4,4,working class,0.288768669,Brandenburg,Non-religious,Germans,NA,Ctl,"Unemployed, looking for work",Age4564,7,BachPlus,0
605,1967,7,1,1,1,No,2,1,1,3,2,4,affluent people,0.288768669,Brandenburg,Protestant,Germans,2,Ctl,Working full time,Age4564,3,BachPlus,2
606,1958,6,1,1,1,No,NA,3,4,4,4,4,affluent people,0.288768669,Brandenburg,Non-religious,Germans,2,Ctl,Working full time,Age4564,6,BachPlus,2
607,1958,1,1,0,0,No,4,2,4,4,4,4,working class,0.288768669,Brandenburg,Other,Germans,1,Ctl,Working full time,Age4564,3,BachPlus,1
608,1968,5,1,0,1,No,NA,4,4,3,3,2,middle class,0.288768669,Brandenburg,Non-religious,Germans,1,Eth,Working full time,Age4564,6,BachPlus,1
609,1963,6,0,0,1,Not Employed,NA,3,1,2,1,2,affluent people,0.833873939,Brandenburg,Non-religious,Germans,NA,Eth,Other,Age4564,4,LessBach,0
610,1959,1,0,1,0,No,NA,3,1,1,1,3,working class,0.833873939,Brandenburg,Non-religious,Germans,NA,Reg,"Unemployed, looking for work",Age4564,5,LessBach,0
611,1953,5,0,1,1,No,NA,1,1,2,2,2,middle class,0.833873939,Brandenburg,Non-religious,Germans,1,Ctl,Working full time,Age4564,2,LessBach,1
612,1966,4,0,1,0,No,NA,3,2,2,2,2,middle class,0.833873939,Brandenburg,Non-religious,Germans,1,Reg,Working full time,Age4564,3,LessBach,1
613,1953,3,0,0,1,No,NA,3,1,4,3,4,middle class,0.833873939,Brandenburg,Non-religious,Germans,4,Ctl,Working part-time,Age4564,6,LessBach,4
614,1971,2,0,0,0,No,NA,3,1,3,2,3,working class,0.833873939,Brandenburg,Non-religious,Germans,2,Ctl,Working full time,Age4564,7,LessBach,2
615,1961,1,0,0,0,No,1,4,2,3,3,4,working class,0.833873939,Brandenburg,Catholic,Germans,NA,Eth,Retired,Age4564,2,LessBach,0
616,1953,3,0,1,1,No,NA,4,2,3,2,2,middle class,0.833873939,Brandenburg,Non-religious,Germans,NA,Eth,Retired,Age4564,3,LessBach,0
617,1958,3,0,1,1,Not Employed,NA,3,1,4,3,4,middle class,0.833873939,Brandenburg,Non-religious,Germans,NA,Reg,Retired,Age4564,5,LessBach,0
618,1964,1,0,0,0,No,NA,3,3,3,3,3,working class,0.833873939,Brandenburg,Non-religious,Germans,NA,Eth,"Unemployed, looking for work",Age4564,3,LessBach,0
619,1969,6,0,0,1,No,NA,3,1,2,3,2,affluent people,0.833873939,Brandenburg,Non-religious,Germans,2,Ctl,Working full time,Age4564,6,LessBach,2
620,1956,4,0,1,0,No,2,4,2,3,2,3,middle class,0.833873939,Brandenburg,Protestant,Germans,1,Reg,Working full time,Age4564,5,LessBach,1
621,1954,1,0,1,0,No,4,3,1,1,1,1,working class,0.833873939,Brandenburg,Other,Germans,NA,Eth,Retired,Age4564,3,LessBach,0
622,1969,4,0,0,0,Yes,2,NA,4,2,1,2,middle class,0.833873939,Brandenburg,Jewish,Germans,1,Ctl,Working full time,Age4564,3,LessBach,1
623,1968,4,0,0,1,No,NA,1,3,3,3,3,middle class,0.833873939,Brandenburg,Non-religious,Germans,1,Reg,Working full time,Age4564,6,LessBach,1
624,1953,2,0,0,1,No,NA,3,1,3,3,3,working class,0.833873939,Brandenburg,Non-religious,Germans,NA,Eth,Retired,Age4564,3,LessBach,0
625,1952,6,0,1,1,No,2,3,1,2,1,1,affluent people,0.833873939,Brandenburg,Protestant,Germans,2,Ctl,Working part-time,Age4564,4,LessBach,2
626,1959,5,0,0,1,No,NA,2,3,4,4,4,middle class,0.833873939,Brandenburg,Non-religious,Germans,NA,Ctl,Retired,Age4564,5,LessBach,0
627,1963,5,0,1,1,Yes,NA,3,1,3,4,4,middle class,0.833873939,Brandenburg,Non-religious,Germans,1,Reg,Working full time,Age4564,3,LessBach,1
628,1962,4,0,0,1,No,NA,3,1,1,4,1,middle class,0.833873939,Brandenburg,Non-religious,Germans,1,Eth,Working full time,Age4564,4,LessBach,1
629,1967,4,0,1,1,No,NA,3,3,4,3,4,middle class,0.833873939,Brandenburg,Non-religious,Germans,1,Ctl,Working full time,Age4564,5,LessBach,1
630,1966,3,0,0,0,No,NA,3,2,1,2,1,middle class,0.833873939,Brandenburg,Non-religious,Germans,2,Eth,Working full time,Age4564,4,LessBach,2
631,1954,1,0,1,0,No,4,3,3,3,3,3,working class,0.833873939,Brandenburg,Other,Germans,NA,Reg,Retired,Age4564,3,LessBach,0
632,1970,6,0,1,1,Yes,NA,NA,1,2,3,2,affluent people,0.833873939,Brandenburg,Non-religious,Germans,2,Eth,Working full time,Age4564,7,LessBach,2
633,1961,3,0,1,1,No,2,3,2,4,3,4,middle class,0.833873939,Brandenburg,Catholic,Germans,1,Ctl,On a long-term leave,Age4564,4,LessBach,1
634,1955,3,0,0,1,No,NA,3,1,2,2,2,middle class,0.391707331,Brandenburg,Non-religious,Germans,NA,Eth,Retired,Age4564,5,LessBach,0
635,1945,3,1,1,1,Not Employed,NA,3,1,3,2,3,middle class,1.074752768,Brandenburg,Non-religious,Germans,NA,Reg,Retired,Age65p,3,BachPlus,0
636,1948,1,1,0,0,No,1,3,1,2,3,2,working class,1.074752768,Brandenburg,Catholic,Germans,2,Eth,Working part-time,Age65p,3,BachPlus,2
637,1951,1,0,1,0,No,NA,1,1,2,4,3,working class,3.221131991,Brandenburg,Non-religious,Germans,NA,Eth,Retired,Age65p,4,LessBach,0
638,1995,3,1,0,0,No,NA,3,1,2,2,2,middle class,0.343473737,Hamburg,Non-religious,Germans,2,Eth,Working full time,Age1524,3,BachPlus,2
639,1995,3,1,0,0,No,NA,NA,2,2,2,2,middle class,0.343473737,Hamburg,Non-religious,Germans,2,Eth,Working full time,Age1524,2,BachPlus,2
640,1994,7,1,1,0,No,2,3,2,3,1,2,affluent people,0.343473737,Hamburg,Protestant,Germans,1,Reg,Working full time,Age1524,6,BachPlus,1
641,1999,3,0,0,0,Not Employed,NA,3,2,2,3,2,middle class,1.000028843,Hamburg,Non-religious,Germans,NA,Reg,Student,Age1524,6,LessBach,0
642,1997,6,1,0,0,Yes,NA,3,2,2,3,2,affluent people,0.168129644,Hamburg,Non-religious,Germans,2,Eth,Working full time,Age1524,5,BachPlus,2
643,1995,6,1,1,0,Not Employed,1,NA,4,1,1,2,affluent people,0.913058793,Hamburg,Other,No information,1,Ctl,Working full time,Age1524,7,BachPlus,1
644,1980,6,1,0,1,No,3,3,2,3,2,2,affluent people,0.241541866,Hamburg,Catholic,Germans,1,Eth,Working part-time,Age2544,1,BachPlus,1
645,1979,6,1,0,1,No,NA,3,4,4,4,4,affluent people,0.241541866,Hamburg,Non-religious,Germans,1,Ctl,Working full time,Age2544,1,BachPlus,1
646,1991,6,1,0,0,No,1,3,1,4,1,4,affluent people,0.241541866,Hamburg,Protestant,Germans,1,Ctl,Working full time,Age2544,7,BachPlus,1
647,1980,4,1,1,1,Yes,4,4,3,3,4,3,middle class,0.241541866,Hamburg,Catholic,Germans,1,Ctl,Working full time,Age2544,3,BachPlus,1
648,1984,7,1,0,0,No,NA,5,3,3,3,3,affluent people,0.241541866,Hamburg,Non-religious,Germans,1,Ctl,Working full time,Age2544,3,BachPlus,1
649,1973,6,1,1,1,No,NA,5,2,3,2,2,affluent people,0.241541866,Hamburg,Non-religious,Germans,1,Eth,Working full time,Age2544,2,BachPlus,1
650,1979,4,1,1,1,Yes,1,4,3,3,3,3,middle class,0.241541866,Hamburg,Buddhist,Germans,4,Eth,Working full time,Age2544,3,BachPlus,4
651,1991,7,1,1,1,Yes,NA,3,3,3,4,3,affluent people,0.241541866,Hamburg,Non-religious,Germans,2,Ctl,Working full time,Age2544,3,BachPlus,2
652,1983,6,1,1,0,No,2,4,2,4,3,4,affluent people,0.241541866,Hamburg,Protestant,Germans,1,Eth,Working full time,Age2544,7,BachPlus,1
653,1981,6,0,0,1,No,NA,3,2,2,2,2,affluent people,0.690432657,Hamburg,Non-religious,Germans,1,Eth,Working full time,Age2544,1,LessBach,1
654,1975,6,0,1,1,No,2,4,2,2,2,2,affluent people,0.690432657,Hamburg,Protestant,Germans,1,Eth,Working part-time,Age2544,5,LessBach,1
655,1983,4,0,1,1,No,NA,1,1,4,4,4,middle class,0.690432657,Hamburg,Non-religious,Germans,1,Eth,Working full time,Age2544,5,LessBach,1
656,1976,4,0,1,0,No,1,2,3,3,3,3,middle class,0.690432657,Hamburg,Catholic,Germans,1,Reg,Working full time,Age2544,4,LessBach,1
657,1979,5,0,1,1,No,NA,NA,3,3,3,3,middle class,0.690432657,Hamburg,Non-religious,Germans,4,Eth,Working part-time,Age2544,1,LessBach,4
658,1979,6,0,0,0,No,1,3,2,1,2,2,affluent people,0.690432657,Hamburg,Protestant,Germans,2,Ctl,Working full time,Age2544,3,LessBach,2
659,1974,6,0,1,1,Yes,2,3,3,3,3,3,affluent people,0.690432657,Hamburg,Protestant,Germans,1,Eth,Working full time,Age2544,6,LessBach,1
660,1988,6,1,0,0,No,2,5,1,1,1,1,affluent people,1.604514776,Hamburg,Protestant,No information,1,Ctl,Working full time,Age2544,1,BachPlus,1
661,1982,6,1,1,0,Yes,1,NA,3,1,3,4,affluent people,0.29920199,Hamburg,Muslim,Turks,1,Eth,Working full time,Age2544,3,BachPlus,1
662,1958,4,1,1,0,Yes,NA,2,3,3,4,4,middle class,0.215222696,Hamburg,Non-religious,Germans,2,Ctl,Working full time,Age4564,7,BachPlus,2
663,1958,6,1,1,1,No,NA,2,3,3,3,3,affluent people,0.215222696,Hamburg,Non-religious,Germans,1,Reg,Working full time,Age4564,3,BachPlus,1
664,1967,6,1,1,1,No,3,1,1,2,2,4,affluent people,0.215222696,Hamburg,Protestant,Germans,2,Ctl,Working full time,Age4564,3,BachPlus,2
665,1968,4,1,0,1,Yes,2,3,2,2,2,3,middle class,0.215222696,Hamburg,Protestant,Germans,1,Reg,Working full time,Age4564,5,BachPlus,1
666,1961,5,1,1,0,Yes,NA,5,1,2,2,2,middle class,0.215222696,Hamburg,Non-religious,Germans,2,Eth,Working full time,Age4564,4,BachPlus,2
667,1966,7,1,1,1,No,NA,3,1,4,2,4,affluent people,0.215222696,Hamburg,Non-religious,Germans,2,Eth,Working full time,Age4564,1,BachPlus,2
668,1953,6,1,1,1,Not Employed,1,3,3,3,1,3,affluent people,0.215222696,Hamburg,Protestant,Germans,NA,Reg,Retired,Age4564,5,BachPlus,0
669,1952,5,1,1,1,No,NA,5,1,2,1,2,middle class,0.215222696,Hamburg,Non-religious,Germans,NA,Eth,Retired,Age4564,7,BachPlus,0
670,1958,7,1,1,1,No,NA,2,2,2,2,2,affluent people,0.215222696,Hamburg,Non-religious,Germans,1,Reg,Working full time,Age4564,2,BachPlus,1
671,1964,1,1,1,0,Not Employed,3,2,4,4,4,4,working class,0.215222696,Hamburg,Protestant,Germans,NA,Eth,"Unemployed, looking for work",Age4564,5,BachPlus,0
672,1956,7,1,1,1,No,2,3,2,3,2,3,affluent people,0.215222696,Hamburg,Protestant,Germans,1,Reg,Working full time,Age4564,2,BachPlus,1
673,1969,1,0,0,1,No,NA,1,1,2,2,2,working class,0.610493826,Hamburg,Non-religious,Germans,NA,Eth,Retired,Age4564,4,LessBach,0
674,1956,5,0,1,1,No,NA,3,2,3,3,3,middle class,0.610493826,Hamburg,Non-religious,Germans,NA,Reg,Other,Age4564,6,LessBach,0
675,1966,3,0,1,0,No,1,3,2,2,2,2,middle class,0.610493826,Hamburg,Protestant,Germans,NA,Eth,Retired,Age4564,2,LessBach,0
676,1955,6,0,1,1,No,1,4,2,2,1,2,affluent people,0.610493826,Hamburg,Protestant,Germans,2,Ctl,Working full time,Age4564,3,LessBach,2
677,1956,7,0,1,1,No,NA,3,1,2,3,2,affluent people,0.610493826,Hamburg,Non-religious,Germans,NA,Ctl,Retired,Age4564,2,LessBach,0
678,1966,5,0,1,1,No,NA,3,1,2,2,1,middle class,0.610493826,Hamburg,Non-religious,Germans,2,Reg,Working full time,Age4564,1,LessBach,2
679,1959,6,0,1,1,No,NA,1,4,3,3,3,affluent people,0.610493826,Hamburg,Non-religious,Germans,NA,Ctl,Retired,Age4564,3,LessBach,0
680,1956,1,0,1,1,No,1,3,1,2,2,2,working class,0.610493826,Hamburg,Protestant,Germans,2,Eth,Working full time,Age4564,4,LessBach,2
681,1966,2,0,1,0,No,1,3,1,1,1,2,working class,0.610493826,Hamburg,Protestant,Germans,NA,Ctl,Retired,Age4564,2,LessBach,0
682,1960,1,0,0,0,Not Employed,NA,4,1,2,1,1,working class,0.610493826,Hamburg,Non-religious,Germans,NA,Ctl,Retired,Age4564,5,LessBach,0
683,1956,4,0,0,0,No,1,3,1,2,2,2,middle class,0.610493826,Hamburg,Protestant,Germans,1,Eth,Working full time,Age4564,2,LessBach,1
684,1954,1,0,1,0,No,1,3,2,1,1,1,working class,0.610493826,Hamburg,Catholic,Germans,NA,Eth,Retired,Age4564,5,LessBach,0
685,1962,5,0,1,0,No,NA,4,1,2,2,2,middle class,0.610493826,Hamburg,Non-religious,Germans,2,Ctl,Working full time,Age4564,4,LessBach,2
686,1957,4,0,0,1,Yes,NA,3,1,2,2,2,middle class,0.610493826,Hamburg,Non-religious,Germans,NA,Eth,Retired,Age4564,6,LessBach,0
687,1959,6,1,1,1,No,1,4,3,2,3,2,affluent people,0.125,Hamburg,Protestant,Germans,2,Ctl,Working part-time,Age4564,6,BachPlus,2
688,1968,2,0,0,0,No,NA,3,1,4,4,3,working class,0.289866409,Hamburg,Non-religious,Germans,3,Reg,Working full time,Age4564,1,LessBach,3
689,1964,2,0,1,0,No,2,4,1,1,1,1,working class,0.289866409,Hamburg,Protestant,Germans,3,Eth,Working full time,Age4564,6,LessBach,3
690,1961,7,1,1,0,No,NA,NA,1,1,1,1,affluent people,1.415389535,Hamburg,Non-religious,Austrians,1,Eth,Working full time,Age4564,5,BachPlus,1
691,1971,1,0,0,0,Not Employed,NA,NA,2,3,4,3,working class,1.652015005,Hamburg,Non-religious,No information,NA,Eth,"Unemployed, looking for work",Age4564,7,LessBach,0
692,1944,4,1,1,1,No,NA,2,1,3,3,4,middle class,0.785161826,Hamburg,Non-religious,Germans,NA,Eth,Retired,Age65p,3,BachPlus,0
693,1947,3,1,1,0,No,NA,5,2,4,4,4,middle class,0.785161826,Hamburg,Non-religious,Germans,NA,Eth,Retired,Age65p,1,BachPlus,0
